Timestamp,Result,Accuracy,FAR,FRR
2026-03-08 12:54:58,km,3,Granted,No,0.303
2026-03-08 12:54:58,m,2,Granted,No,0.325
2026-03-08 12:54:59,km,3,Granted,No,0.301
2026-03-08 12:54:59,km,3,Granted,No,0.385
2026-03-08 12:55:00,km,2,Granted,No,0.356
2026-03-08 12:55:01,m,2,Granted,No,0.332
2026-03-08 12:55:01,km,3,Granted,No,0.355
2026-03-08 12:55:02,km,2,Granted,No,0.407
2026-03-08 12:55:02,km,2,Weak match,No,0.468
2026-03-08 12:55:08,Unknown,N/A,Denied � Spoof,Yes,
2026-03-08 12:55:08,Unknown,N/A,Denied � Spoof,Yes,
2026-03-08 12:55:09,km,3,Weak match,No,0.526
2026-03-08 12:55:09,m,2,Weak match,No,0.554
2026-03-08 12:55:10,m,2,Weak match,No,0.485
2026-03-08 12:55:10,Unknown,N/A,Denied � Spoof,Yes,
2026-03-08 12:55:10,m,2,Weak match,No,0.511
2026-03-08 12:55:11,m,2,Weak match,No,0.569
2026-03-08 12:55:11,km,3,Weak match,No,0.494
2026-03-08 12:55:12,m,2,Weak match,No,0.514
2026-03-08 12:55:12,m,2,Weak match,No,0.485
2026-03-08 12:55:13,m,2,Weak match,No,0.536
2026-03-08 12:55:13,m,2,Weak match,No,0.486
2026-03-08 12:55:14,m,2,Weak match,No,0.478
2026-03-08 12:55:14,m,2,Weak match,No,0.499
2026-03-08 12:55:15,k ,67,Weak match,No,0.550
2026-03-08 12:55:15,m,2,Weak match,No,0.477
2026-03-08 12:55:16,km,3,Weak match,No,0.526
2026-03-08 12:55:17,km,3,Weak match,No,0.562
2026-03-08 12:55:17,km,3,Weak match,No,0.515
2026-03-08 12:55:18,m,2,Weak match,No,0.485
2026-03-08 12:55:18,km,3,Weak match,No,0.519
2026-03-08 12:55:19,m,2,Weak match,No,0.545
2026-03-08 12:55:19,Unknown,N/A,Denied � Spoof,Yes,
2026-03-08 12:55:19,m,2,Weak match,No,0.594
2026-03-08 12:55:20,k ,67,Weak match,No,0.503
2026-03-08 12:55:20,km,3,Weak match,No,0.500
2026-03-08 12:55:21,km,3,Weak match,No,0.511
2026-03-08 12:55:21,km,3,Weak match,No,0.520
2026-03-08 12:55:22,km,3,Weak match,No,0.533
2026-03-08 12:55:23,m,2,Weak match,No,0.518
2026-03-08 12:55:23,km,3,Weak match,No,0.512
2026-03-08 12:55:23,km,3,Weak match,No,0.503
2026-03-08 12:55:24,m,2,Weak match,No,0.491
2026-03-08 13:08:50,Unknown,N/A,Denied � Spoof,Yes
2026-03-08 13:09:55,kathi,5,Enrolled,No
2026-03-08 13:11:45,Unknown,N/A,Denied � Spoof,Yes
